humorous,text
1,"What's the difference between erotic and kinky? Erotic you use a feather.  Kinky you use the whole chicken."
1,"To love oneself is the beginning of a lifelong romance."
1,"There's no future in time travel."
1,"Entropy isn't what it used to be."
1,"Insomnia isn't anything to lose sleep over."
1,"Criminal Lawyer'  is  redundant."
1,"To you I'm an atheist; to God I'm the Loyal Opposition."
1,"When I was in school I cheated on my metaphysics exam. I looked into the soul of the boy sitting next to me."
1,"I have a rock garden.  Last week three of them died."
1,"He who laughs last is generally a bit slow."
1,"Rings of Saturn are made entirely of lost airline luggage."
1,"Disney World - a people trap operated by a mouse."
1,"Hi I'm a tagline. When I grow up I'm gonna be a novel!"
1,"Please reply if you don't get this message."
1,"Circular definition: see definition circular."
1,"All generalizations are false."
1,"I'm not as think as you drunk I am."
1,"Change is inevitable except from a vending machine."
1,"Rehab is for quitters."
1,"I get enough exercise just pushing my luck."
1,"Sometimes I wake up grumpy; Other times I let him sleep."
1,"I took an IQ test and the results were negative."
1,"Where there's a will I want to be in it."
1,"Few women admit their age;  Fewer men act it."
1,"I don't suffer from insanity I enjoy every minute of it."
1,"IRS: We've got what it takes to take what you've got."
1,"Time is the best teacher; Unfortunately it kills all its students."
1,"A bartender is just a pharmacist with a limited inventory."
1,"Give me ambiguity or give me something else."
1,"i souport publik edekashun."
1,"Beauty is in the eye of the beer holder..."
1,"How do you make a hormone? Don't pay her. "
1,"What lies at the bottom of the sea and whimpers? A nervous wreck."
1,"What are the four words you don\'t want to hear while making love? 'Honey I\'m home!"
1,"Computer programmers don't byte they nybble a bit."
1,"Drive defensively - buy a tank."
1,"What do dinosaurs have that no other animals have? Baby Dinosaurs. Where does a Tyrannosaurus sit when he comes to stay? Anywhere he wants to.\rWhat did they call prehistoric sailing disasters? Tyrannosaurus wrecks.\rCan you name 10 dinosaurs in 10 seconds? Yes 8 iguanadons and 2 stegasaurus.\rWhat do you call a dinosaur as tall as a house with long sharp teeth and 12 claws on each foot? Sir.\rWhat do you call a dinosaur as tall as a house with long sharp teeth 12 claws on each foot and a personal stereo over his ears? Anything you like he won't hear you!\rWhat do you get if you cross a mouse with a triceratops? Enormous holes in the skirting board.\rHow can you tell if there is a dinosaur in bed with you? By the `D' on his pajamas. How do you know if there is a brachiosaurus in bed with you? By the dinosnores."
1,"A cucumber and a tomato meet in a saladbar. Cucumber: Gee how come you look so red? Tomato: I saw the salad dressing."
1,"A bird in hand is safer than one overhead."
1,"A woman without a man is like a fish without a bicycle."
1,"I stayed up all night playing poker with tarot cards. I got a full house and four people died."
1,"The brain is a wonderful organ:  it starts working the moment you get up in the morning and does not stop until you get to school."
1,"You'd be paranoid too if everybody hated you."
1,"Cole's Law:  Thinly sliced cabbage."
1,"I'd give my right arm to be ambidextrous."
1,"Duct tape is like the Force.  It has a light side and a dark side and it holds the universe together."
1,"I used to think I was indecisive but now I'm not so sure."
1,"There is so much sand in Northern Africa that if it were spread out it would completely cover the Sahara Desert."
1,"It has been said that we only use 15% of our brain. I wonder what we do with the other 75%?"
1,"How much deeper would the oceans be without sponges?"
1,"I've got it!  I've got it!  Now for the cure..."
1,"A juggler is just a schizophrenic playing catch."
1,"Polaroids: what polar bears get from sitting on the ice."
1,"D.A.M.N. - Naked Mothers Against Dyslexia"
1,"There IS intelligent life in the universe.  It ignores us."
1,"Amish safe sex: painting an 'X' on the cows that kick."
1,"How long a minute is depends on which side of the bathroom door you're on."
1,"Vitamin C deficiency is apauling."
1,"Science is what happens when preconception meets verification."
1,"Electrical Engineers do it with less resistance."
1,"Wanna hear a joke? Sleep. I know I don't get it either"
1,"Do you smoke pot because weed be cute together"
1,"I just texted my girlfriend Ruth and told her it was over. I'm Ruthless."
1,"Astronomers got tired of watching the moon go round the earth for 24 hours. So they decided to call it a day."
1,"Is your name ariel because I think we mermaid for each other."
1,"Math jokes aren't funny. Nothing about math is funny. Math is a sin."
1,"Why do cows have hooves instead of feet? Because they lactose."
1,"How did I escape Iraq? Iran"
1,"Whenever I want to start eating healthy a chocolate bar looks at me and Snickers."
1,"I just wrote a really awesome song about a fajita. Well it's more of a wrap really."
1,"I wonder if earth makes fun of other planets for having no life."
1,"I met a girl with 12 nipples today. Sounds fun Dozen tit?"
1,"How does Moses make his tea? Hebrews it. I'm serious that Israeli how he does it."
1,"You'd think that atoms bonding with other atoms would mean they're being friendly but really they steal each other's electrons. How ionic."
1,"You're telling me I need to study? No thanks I'll pass."
1,"My waitress threw sodium chloride at me. She was arrested and charged with a salt."
1,"Why did the mushroom go to the party? Because he's a fungi! Why didn't he get in? There wasn't mushroom!"
1,"Where do astronauts go out for a drink? To the spacebar."
1,"What did the thermometer say to the graduated cylinder? 'You may have graduated but I\'ve got hundreds of degrees"
1,"If towels could tell jokes they would probably have a dry sense of humor."
1,"I didn't like my beard at first but then it grew on me."
1,"You're living you occupy space and have mass. What does that mean? You matter."
1,"How does Nasa organize a party? They planet."
1,"I'd say fuck the wheather but its definitely under 18..."
1,"I used to have a job crushing cans. It was soda pressing."
1,"I'm glad I know sign language it's pretty handy."
1,"What do you call a wizard who's running late for the Hogwarts Express? Hurry Potter."
1,"I bought shoes from a drug dealer. I don't know what he laced them with but I've been tripping all day."
1,"I'd tell you a chemistry joke but I know I wouldn't get a reaction."
1,"When I drink alcohol everyone says im an alcoholic. When I drink fanta no one says I'm fantastic."
1,"What did Barack Obama say to Michelle when he proposed? 'I don\'t wanna be Obama self"
1,"Did Snoop Dogg really change his name or is Snoop Lion?"
1,"I heard that Oxygen and Magnesium are going out. I was like OMg."
1,"A book fell on my head... I can't blame myshelf."
1,"I wish I had a pair of skinny genes."
1,"Mathematics teachers call retirement 'the aftermath."
1,"A chemistry lab is like a big party. Some drop the acid while others drop the base."
1,"How much did Santa pay for his sleigh? Nothing because it was on the house!"
1,"What do you call a fake macaroni? An impasta."
1,"I told my friend 10 jokes to get him to laugh. Sadly no pun in 10 did."
1,"The invention of the shovel was groundbreaking."
1,"What do you get when you cross a dyslexic an insomniac and an agnostic? Someone who lays awake at night wondering if there is a dog"
1,"What do you call bears with no ears? B"
1,"When u tryna be cheesy but everyone around u is laughtose intolerant."
1,"Where would Voldemort go if he played the trumpet? Jazzkaban."
1,"What do you call a lazy kangaroo? A pouch potato."
1,"How do trains eat? They chew-chew."
1,"What do you call a labrador that becomes a magician? A Labracadabrador."
1,"My friend asked me to stop singing oasis songs in public. I said maybe."
1,"I used to hate math but now I realised decimals have a point."
1,"I think my friend was built backwards. His nose runs and his feet smell."
1,"How much room is needed to grow funghi? As Muchroom as possible."
1,"Keep the planet clean it's not uranus. "
1,"If April showers bring May flowers what do May flowers bring? Pilgrims."
1,"Why was the Thanksgiving soup so expensive? It had 24 carrots."
1,"What kind of music did the Pilgrims like? Plymouth Rock"
1,"The rotation of Earth always makes my day."
1,"(p + l)(a + n)=pa+pn+la+ln. We just foiled your plan."
1,"Chemistry jokes are Sodium funny."
1,"I made a shirt out of thumb tacks because I wanted to look sharp but everyone said it was tacky."
1,"Sorry I'm poor I can't afford to pay attention."
1,"What did the biologist wear on his first date? Designer genes."
1,"Are you flourine iodine and neon? Cause you are FINe."
1,"Some guy just assaulted me with milk cream and butter. How dairy!"
1,"Why do ghosts love elevators? Cause they lift their spirits."
1,"A Physicist and a Biologist had a relationship but there was no Chemistry."
1,"Do you know why Frequency cannot love any more? Cause it still hertz."
1,"What building isn't trustworthy? The lie-brary."
1,"What did the scientist say when he found two helium atoms? HeHe"
1,"How many mice does it take to screw in a light bulb? Two. (Hint:  They are small enough to fit inside)."
1,"How many Polacks does it take to change a light bulb?Just one but you need 6000 Russian troops in case he goes on strike!"
1,"How many WASP's does it take to screw in a light bulb? Silly WASP's don't screw in a light bulb they screw in a hot tub."
1,"How many Jewish American Princesses does it take to change a light bulb? Two.  One to pour the Tab and one to phone Daddy."
1,"How many Marxist's does it take to change a light bulb? None: The light bulb contains the seeds of its own revolution."
1,"How many (Generals/Politicians) does it take to change a light bulb? 1000001. One to change the bulb and 1000000 to rebuild civilizationto the point where they need light bulbs again."
1,"How many New Yorkers does it take to screw in a light bulb? None of your damn business!"
1,"How many Christians does it take to change a light bulb? Three but they're really only one."
1,"How many jugglers does it take to change a light bulb? One but it takes at least three light bulbs."
1,"How many Feminists does it take to change a light bulb? That's not funny!!!"
1,"How many supply-siders does it take to change a light bulb? None. The darkness will cause the light bulb to change by itself."
1,"How many valley girls does it take to change a light bulb? Manual labor? Gag me with a spoon!"
1,"How many straight San Franciscans does it take to screw in a light bulb? Both of them."
1,"How many Zen masters does it take to screw in a light bulb? Two. One to change the bulb and one not to change it."
1,"How many Carl Sagans does it take to screw in a light bulb? Billions and billions."
1,"How many folk singers does it take to screw in a light bulb? Two. One to change it and one to write a song about how good the old light bulb was."
1,"How many surrealists does it take to change a light bulb? Two. One to hold the giraffe and the other to fill the bathtub with brightly colored machine tools."
1,"How many doctors does it take to screw in a light bulb? Three. One to find a bulb specialist one to find a bulb installation specialist and one to charge the bill."
1,"How many psychologists does it take to change a light bulb? None the bulb will change itself when its ready."
1,"What is the difference between a pregnant woman and a light bulb? You can unscrew a lightbulb."
1,"How many managers does it take to change a light bulb? Three. One to get the bulb and two to get the phone number to dial one of their subordinates to actually change it."
1,"How many Bratzlaver Chassidim does it take to change a light bulb? None. They will never find one that burned as brightly as the first one."
1,"How many graduate students does it take to change a light bulb? Only one but it takes nine years."
1,"How many professors does it take to change a light bulb? Only one but they get three tech reports out of it."
1,"How many people from New Jersey does it take to change a light bulb? Three. One to change the light bulb one to be a witness and the third to shoot the witness."
1,"Astronomers got tired of watching the moon go round the earth for 24 hours.So they decided to call it a day."
1,"Butterflies are not what they used to be."
1,"Don't join dangerous cults. Always practice safe sects!"
1,"Why is it called a 'building' when it is already built?"
1,"I'm making a fruit salad and the recipe says Pineapples - Five cubed. Where on Earth am I going to get 125 pineapples?"
1,"We'll never run out of maths teachers.. because they keep multiplying."
1,"Things are always easier said than done..Except for talking that's pretty much the same really."
1,"I've just been house hunting. One place had mirrors covering the walls of every room. I thought.. 'I can see myself living here'"
1,"What do you get when you cross a stream and a brook? Wet feet."
1,"How is it possible to have a 'civil' war?"
1,"I received an email asking me to send trouser zips to the address provided.But I ignored it sounds like they're fly phishing to me."
1,"What did the 0 say to the 8? Nice belt!"
1,"I was so cold today that my jaw started to freeze..So I gritted my teeth."
1,"I bought an off-road vehicle in a blind auction..Got it delivered and It was a canoe."
1,"What's green and goes 'Riggit Riggit' ?A frog with badly fitting false teeth."
1,"What does Geronimo say when he jumps out of a plane?"
1,"I was going to quit all my bad habits for the new year but then I remembered that nobody likes a quitter."
1,"My news years resolution is to save up and buy a velcro wall..and I plan on sticking to it!"
1,"If you were born in September its pretty safe to assume your parents started out the New Year with a Bang!"
1,"My news years resolution this year is to give up sexual innuendos.But it's so hard.."
1,"After hours of thinking I've finally decided on my new years resolution: 1920 x 1080"
1,"I had a fight with a snowman last night. He didn't last long....things got a bit heated."
1,"I just pulled a Christmas crackererm.. There's a joke in there somewhere."
1,"I got my wife the leg off a mannequin for Christmas. It's not her main present..just a stocking filler"
1,"What is Santa's favourite pizza?One that's deep pan crisp and even."
1,"What do you call a snowman with a suntan? A puddle."
1,"Our kids always find their Christmas presents early no matter where we hide them.So this year we've locked them in the attic.."
1,"I've been seeing someone behind my girlfriend's back..I think she's got a stalker."
1,"I remember when my parents died all they left me was a globe.. It meant the world to me."
1,"If you ate pasta and antipasta would you still be hungry?"
1,"Did you hear about the dumb woodworm?He was found dead inside a house brick."
1,"My wife's head just spun around and then she vomited green slimeI've no idea what's possessed her."
1,"A skeleton goes into a bar and orders a pint of beer and a mop.."
1,"Did you hear about the cobbler who made a satanic pact?He sold his sole to the devil."
1,"Why didn't the skeleton go to the party?Because he had no body to go with."
1,"A ghost walks into a bar and orders a shot of vodka. The bartender says 'Sorry we don't serve spirits here.'"
1,"If you don't pay your exorcist you can get repossessed."
1,"If a plane is an aircraft does that make a broom a witchcraft?"
1,"Why did Dracula go to the doctors?Because of his coffin."
1,"You feel stuck with your debt..If you can't budge it."
1,"I was gonna nail a shelf to my wall but then I thought Screw it!"
1,"What do you call a man who can't stop stealing? Nick."
1,"I accidentally left an apple outside my local GP's surgery.Now he won't be able to get in."
1,"I've just been given a pack of playing cards covered in strawberry jam..I'm finding them very had to deal with."
1,"Sometimes I laugh so much that a bit of wee comes out. It's really starting to worry me..Why is wee coming out of my mouth?"
1,"I bloody hate flash mobs.One once kicked my door down and forced me to update my Adobe."
1,"I took the rear view mirror out of my car and since then..I've never looked back"
1,"My local butcher is seven foot tall and a size fourteen shoe.. what does he weigh? Sausages."
1,"What do you call a man with a rabbit in his mouth?Warren."
1,"My younger brother was named after my fatherA bit confusing when your brother is named 'Dad' though."
1,"What do you call a man with a map on his head? Miles."
1,"What do you call a woman who sounds like an ambulance? Nina."
1,"Why did the football manager give his team lighters? Cos they kept losing all of their matches."
1,"One Bear.(That's the bear minimum)"
1,"My uncle works for a company that makes bicycle wheels.He's the Spokesman."
1,"I just got a Scottish sheep dog from the pound but sadly my wife can't see it..She's collie blind."
1,"What do you call a woman who stands straddling a river? Bridgette."
1,"What's a twack? Something a twain wuns on."
1,"I distorted a Tortoise earlier..Now it's just an Oise."
1,"I keep having a recurring nightmare where I'm surrounded by loads of pregnant women in labour.I think I may be having a midwife crisis.."
1,"What's the definition of a snail?A slug with a crash helmet."
1,"31 years ago today the doctor delivered me.I can't believe I've survived so long without a liver."
1,"I work for the NHS dealing with moving patients between different areas of the hospital..It's a re-warding job."
1,"I've just been outside helping a guy in a black robe with a scythe clear the frost off his car. I was de-icing with death."
1,"My grandfather puts horse manure on his rhubarb..I prefer it with custard."
1,"My pet mouse 'Elvis' died last last..He was caught in a trap.."
1,"I just saw on the news'Missing girl found safe'What I wanna know is..Could she crack it?"
1,"What do you call a man who comes in through the letter box?Bill."
1,"What's small brown hairy and wears sunglasses?A coconut in disguise."
1,"Did you hear about those new corduroy pillowcases? They're making headlines.."
1,"My dog is named Minton. Today he ate a shuttlecock.. Bad Minton!"
1,"To be frank..would involve changing my name."
1,"How do you make a squirrel cry? Pinch it's nuts."
1,"2B or not 2B. That is the pencil."
1,"What do you call a run down Italian neighbourhood?The Spaghetto."
1,"Did you hear about the astronaut who stepped on some chewing gum? He got stuck in Orbit."
1,"The rotation of the planet Earth really makes my day!"
1,"What kind of moron invented the fire blanket? Surely fire is warm enough already?.."
1,"I thought opening the door for a lady was the polite thing to do..but she just screamed and flew out of the plane.."
1,"I had a go at parachuting today.I went to the local airfield and said 'Stupid parachute morons jumping out of bloody planes'"
1,"I bought a battery powered clock  today.When I got home I noticed that they had given me the wrong one.I thought 'This is a wind up!'"
1,"Why was the robot mad? Because people kept pushing its buttons."
1,"I just got back from a very emotional wedding.. Even the cake was in tiers."
1,"How does Moses make his tea? Hebrews it."
1,"I was arguing with my girlfriend in Nando's when my best mate ran off with the garlic bread and coleslaw. I wish he would stop taking sides."
1,"Why are there fish at the bottom of the sea? Cos they dropped out of school."
1,"How did a fool and his money get together in the first place?"
1,"Why can't a bicycle stand on it's own? Cos it's two tired."
1,"Why did the golfer wear two pairs of trousers? In case he got a hole in one!"
1,"A policeman asked me to come down to the station for an interview...I haven't even applied for a job there!"
1,"My mate just came fourth in a Body-Snatching contest. I told him 'It's not the winning it's the taking parts that counts'"
1,"What's the best way to catch a rabbit?Hide in the bushes and make lettuce noises."
1,"A mysterious hole has been found in the local nudist camp wall. The police are looking into it."
1,"Two vultures board an airplane each carrying two dead raccoons. The stewardess says: 'Sorry gentlemen only one carrion per passenger.'"
1,"Why did the banana go to the hospital? Because he wasn't peeling well."
1,"Some people have a way with words Others not have way."
1,"The universe implodes... No matter."
1,"The invention of the shovel was ground-breaking."
1,"Why did the orange stop? Because it ran out of juice."
1,"I just found out that 'Aarrgghh' is not a real word.I can't even tell you how angry I am!"
1,"What's yellow and square?A tomato in disguise."
1,"My mate walked into Carphone Warehouse held the manager at gunpoint and made her top up his mobile phone for free.Full credit to him!"
1,"What do you call a sleepwalking nun?A roamin' Catholic."
1,"How do you tell the difference between a crocodile and an alligator?You will see one later and one in a while."
1,"Vodka! Whiskey! Tequila!' I call the shots!"
1,"I got kicked out of my local music shop after asking about a Coldplay song. I was clearly looking for Trouble."
1,"If a pig loses its voice does it become disgruntled?"
1,"I was trying to explain the concept of Twitter to my friend. But she finally said 'I don't follow you'"
1,"Where are average things built?In the satisfactory."
1,"A huge section of tree just broke off and demolished a bank in town. I've no idea which branch it was though.."
1,"Where do boats go when they are sick? The dock."
1,"Did you hear about the vampire bicycle that went around biting people? It was a vicious cycle."
1,"After a bad day I came home to find that somebody has ripped the front and back pages from my dictionary.It just goes from bad to worse."
1,"How come there is no other name for thesaurus?"
1,"What do you say if you're talking to God... and he sneezes?"
1,"To whoever invented the zero..Thanks for nothing."
1,"Me and my limbo team go way back."
1,"Apparently our local Police station has had it's toilet stolen. Police have nothing to go on."
1,"I've taken up speed reading. I can read 'War and Peace' in 20 seconds. It's only 3 words but it's a start."
1,"I was going to do a joke about a germ But I wouldn't want to spread it around."
1,"Why does a hummingbird hum? Because it doesn't know the words."
1,"I had a threesome with a scalene and an isosceles.It was a love triangle."
1,"A small boy swallowed some coins and was taken to hospital. His Mother phoned to ask how he was and the nurse said 'There's no change yet"
1,"Why didn't Noah just swat those two mosquitoes?"
1,"What happens if you go on a survival course..and you don't pass?"
1,"I don't want to sound big headed but I wear a size XXL hat."
1,"Whose cruel idea was it for the word 'lisp' to have an s in it?"
1,"I was going to do a joke about construction.. but I'm still working on it."
1,"What do you call a sheep with no head and no legs? A cloud."
1,"I got my child to sleep last night by just repeatedly saying 'bursary'.It was the only nursery rhyme I could think of."
1,"My Doctor gave me something to treat my haemorrhoids. But personally I'm not so sure they deserve a treat."
1,"I was gonna tell a joke about a roof but it would probably go over peoples heads."
1,"Whoever put the letter 'b' in the word 'subtle' deserves a pat on the back."
1,"I ordered a hotel wake-up call the other day. The phone rang and a woman's voice said 'What the hell are you doing with your life?'"
1,"When I found out that my masseuse is also a prostitute I was relieved."
1,"I start my new job in Seoul next week. I thought it was a good Korea move."
1,"A duck was about to cross the road when a chicken came running and said 'No don't do it! You'll never hear the bloody end of it'"
1,"Gambling has brought our family together. We had to move to a smaller house."
1,"I never make mistakes I thought I did once.. but I was wrong."
1,"Never iron a four leaf clover. You don't want to press your luck."
1,"What did the rug say to the floor?Don't move I've got you covered."
1,"My dog chased a kid on a bike So we took away his bike.But he kept barking.So we gave it back.Because his bark is worse than his bike."
